x,y,z,distance
157.0770436,-33.93677069,-4619,397.0474234
157.1122241,-33.93513825,-4584,400.3019105
157.1474046,-33.93350582,-4608,403.5563976
157.182585,-33.93187338,-4608,406.8108847
157.2177655,-33.93024095,-4694,410.0653717
157.252946,-33.92860851,-4735,413.3198588
157.2881265,-33.92697607,-4744,416.5743459
157.323307,-33.92534364,-4745,419.828833
157.3584874,-33.9237112,-4751,423.08332
157.3936679,-33.92207876,-4796,426.3378071
157.4288484,-33.92044633,-4761,429.5922942
157.4640289,-33.91881389,-4726,432.8467813
157.4992094,-33.91718145,-4622,436.1012684
157.5343898,-33.91554902,-4519,439.3557554
157.5695703,-33.91391658,-4513,442.6102425
157.6047508,-33.91228415,-4532,445.8647296
157.6399313,-33.91065171,-4590,449.1192167
157.6751117,-33.90901927,-4677,452.3737037
157.7102922,-33.90738684,-4708,455.6281908
157.7454727,-33.9057544,-4703,458.8826779
157.7806532,-33.90412196,-4689,462.137165
157.8158337,-33.90248953,-4646,465.3916521
157.8510141,-33.90085709,-4626,468.6461391
157.8861946,-33.89922466,-4630,471.9006262
157.9213751,-33.89759222,-4627,475.1551133
157.9565556,-33.89595978,-4575,478.4096004
157.9917361,-33.89432735,-4514,481.6640874
158.0269165,-33.89269491,-4503,484.9185745
158.062097,-33.89106247,-4504,488.1730616
158.0972775,-33.88943004,-4552,491.4275487
158.132458,-33.8877976,-4575,494.6820357
158.1676385,-33.88616516,-4579,497.9365228
158.2028189,-33.88453273,-4550,501.1910099
158.2379994,-33.88290029,-4493,504.445497
158.2731799,-33.88126786,-4432,507.6999841
158.3083604,-33.87963542,-4405,510.9544711
158.3435408,-33.87800298,-4348,514.2089582
158.3787213,-33.87637055,-4288,517.4634453
158.4139018,-33.87473811,-4242,520.7179324
158.4490823,-33.87310567,-4225,523.9724194
158.4842628,-33.87147324,-4234,527.2269065
158.5194432,-33.8698408,-4280,530.4813936
158.5546237,-33.86820837,-4342,533.7358807
158.5898042,-33.86657593,-4379,536.9903678
158.6249847,-33.86494349,-4431,540.2448548
158.6601652,-33.86331106,-4427,543.4993419
158.6953456,-33.86167862,-4409,546.753829
158.7305261,-33.86004618,-4392,550.0083161
158.7657066,-33.85841375,-4382,553.2628031
158.8008871,-33.85678131,-4395,556.5172902
158.8360676,-33.85514888,-4293,559.7717773
158.871248,-33.85351644,-4153,563.0262644
158.9064285,-33.851884,-3763,566.2807514
158.941609,-33.85025157,-3763,569.5352385
158.9767895,-33.84861913,-3681,572.7897256
159.0119699,-33.84698669,-3996,576.0442127
159.0471504,-33.84535426,-4265,579.2986998
159.0823309,-33.84372182,-4708,582.5531868
159.1175114,-33.84208938,-4939,585.8076739
159.1526919,-33.84045695,-4992,589.062161
159.1878723,-33.83882451,-4970,592.3166481
159.2230528,-33.83719208,-4802,595.5711351
159.2582333,-33.83555964,-4598,598.8256222
159.2934138,-33.8339272,-4407,602.0801093
159.3285943,-33.83229477,-4218,605.3345964
159.3637747,-33.83066233,-4113,608.5890835
159.3989552,-33.82902989,-3881,611.8435705
159.4341357,-33.82739746,-3637,615.0980576
159.4693162,-33.82576502,-3427,618.3525447
159.5044967,-33.82413259,-3363,621.6070318
159.5396771,-33.82250015,-3329,624.8615188
159.5748576,-33.82086771,-3388,628.1160059
159.6100381,-33.81923528,-3368,631.370493
159.6452186,-33.81760284,-3321,634.6249801
159.680399,-33.8159704,-3112,637.8794671
159.7155795,-33.81433797,-2991,641.1339542
159.75076,-33.81270553,-2882,644.3884413
159.7859405,-33.81107309,-2833,647.6429284
159.821121,-33.80944066,-2584,650.8974155
159.8563014,-33.80780822,-2442,654.1519025
159.8914819,-33.80617579,-2395,657.4063896
159.9266624,-33.80454335,-2346,660.6608767
159.9618429,-33.80291091,-2290,663.9153638
159.9970234,-33.80127848,-2194,667.1698508
160.0322038,-33.79964604,-2141,670.4243379
160.0673843,-33.7980136,-2068,673.678825
160.1025648,-33.79638117,-2055,676.9333121
160.1377453,-33.79474873,-2003,680.1877992
160.1729258,-33.7931163,-1923,683.4422862
160.2081062,-33.79148386,-1760,686.6967733
160.2432867,-33.78985142,-1712,689.9512604
160.2784672,-33.78821899,-1817,693.2057475
160.3136477,-33.78658655,-1886,696.4602345
160.3488281,-33.78495411,-1978,699.7147216
160.3840086,-33.78332168,-2015,702.9692087
160.4191891,-33.78168924,-2030,706.2236958
160.4543696,-33.7800568,-2078,709.4781829
160.4895501,-33.77842437,-2153,712.7326699
160.5247305,-33.77679193,-2206,715.987157
160.559911,-33.7751595,-2230,719.2416441
160.5950915,-33.77352706,-2237,722.4961312
160.630272,-33.77189462,-2258,725.7506182
160.6654525,-33.77026219,-2286,729.0051053
160.7006329,-33.76862975,-2306,732.2595924
160.7358134,-33.76699731,-2306,735.5140795
160.7709939,-33.76536488,-2306,738.7685665
160.8061744,-33.76373244,-2287,742.0230536
160.8413549,-33.76210001,-2239,745.2775407
160.8765353,-33.76046757,-2154,748.5320278
160.9117158,-33.75883513,-2058,751.7865149
160.9468963,-33.7572027,-2010,755.0410019
160.9820768,-33.75557026,-1927,758.295489
161.0172572,-33.75393782,-1882,761.5499761
161.0524377,-33.75230539,-1781,764.8044632
161.0876182,-33.75067295,-1710,768.0589502
161.1227987,-33.74904052,-1603,771.3134373
161.1579792,-33.74740808,-1593,774.5679244
161.1931596,-33.74577564,-1685,777.8224115
161.2283401,-33.74414321,-1703,781.0768986
161.2635206,-33.74251077,-1682,784.3313856
161.2987011,-33.74087833,-1585,787.5858727
161.3338816,-33.7392459,-1544,790.8403598
161.369062,-33.73761346,-1578,794.0948469
161.4042425,-33.73598102,-1668,797.3493339
161.439423,-33.73434859,-1727,800.603821
161.4746035,-33.73271615,-1745,803.8583081
161.509784,-33.73108372,-1740,807.1127952
161.5449644,-33.72945128,-1740,810.3672822
161.5801449,-33.72781884,-1731,813.6217693
161.6153254,-33.72618641,-1717,816.8762564
161.6505059,-33.72455397,-1675,820.1307435
161.6856863,-33.72292153,-1633,823.3852306
161.7208668,-33.7212891,-1602,826.6397176
161.7560473,-33.71965666,-1590,829.8942047
161.7912278,-33.71802423,-1558,833.1486918
161.8264083,-33.71639179,-1499,836.4031789
161.8615887,-33.71475935,-1408,839.6576659
161.8967692,-33.71312692,-1352,842.912153
161.9319497,-33.71149448,-1223,846.1666401
161.9671302,-33.70986204,-1152,849.4211272
162.0023107,-33.70822961,-1151,852.6756143
162.0374911,-33.70659717,-1136,855.9301013
162.0726716,-33.70496473,-1074,859.1845884
162.1078521,-33.7033323,-1005,862.4390755
162.1430326,-33.70169986,-980,865.6935626
162.1782131,-33.70006743,-965,868.9480496
162.2133935,-33.69843499,-970,872.2025367
162.248574,-33.69680255,-948,875.4570238
162.2837545,-33.69517012,-886,878.7115109
162.318935,-33.69353768,-844,881.9659979
162.3541154,-33.69190524,-799,885.220485
162.3892959,-33.69027281,-799,888.4749721
162.4244764,-33.68864037,-801,891.7294592
162.4596569,-33.68700794,-753,894.9839463
162.4948374,-33.6853755,-632,898.2384333
162.5300178,-33.68374306,-578,901.4929204
162.5651983,-33.68211063,-656,904.7474075
162.6003788,-33.68047819,-726,908.0018946
162.6355593,-33.67884575,-775,911.2563816
162.6707398,-33.67721332,-786,914.5108687
162.7059202,-33.67558088,-800,917.7653558
