x,y,z,distance
154.282368,-29.03297703,-3204,204.052791
154.2814398,-29.04838146,-3177,205.7253549
154.2805116,-29.06378589,-3126,207.3979187
154.2795835,-29.07919032,-3109,209.0704826
154.2786553,-29.09459475,-3075,210.7430465
154.2777271,-29.10999918,-3065,212.4156103
154.2767989,-29.12540361,-3046,214.0881742
154.2758707,-29.14080804,-3035,215.760738
154.2749425,-29.15621247,-3014,217.4333019
154.2740143,-29.1716169,-2972,219.1058658
154.2730861,-29.18702133,-2957,220.7784296
154.2721579,-29.20242576,-2976,222.4509935
154.2712297,-29.21783019,-2986,224.1235573
154.2703015,-29.23323462,-3087,225.7961212
154.2693733,-29.24863905,-3146,227.4686851
154.2684451,-29.26404348,-3307,229.1412489
154.2675169,-29.27944792,-3158,230.8138128
154.2665887,-29.29485235,-3345,232.4863766
154.2656605,-29.31025678,-3441,234.1589405
154.2647323,-29.32566121,-3537,235.8315044
154.2638041,-29.34106564,-3663,237.5040682
154.262876,-29.35647007,-3719,239.1766321
154.261717,-29.37183838,-3767,240.8491959
154.2578933,-29.38678954,-3774,242.5217598
154.2540696,-29.40174071,-3770,244.1943237
154.250246,-29.41669188,-3611,245.8668875
154.2464223,-29.43164305,-3602,247.5394514
154.2425986,-29.44659421,-3612,249.2120153
154.2387749,-29.46154538,-3640,250.8845791
154.2349512,-29.47649655,-3527,252.557143
154.2311275,-29.49144771,-3611,254.2297068
154.2273038,-29.50639888,-3681,255.9022707
154.2234801,-29.52135005,-3822,257.5748346
154.2196564,-29.53630121,-3693,259.2473984
154.2158327,-29.55125238,-3873,260.9199623
154.212009,-29.56620355,-3950,262.5925261
154.2081853,-29.58115471,-3942,264.26509
154.2043616,-29.59610588,-3986,265.9376539
154.200538,-29.61105705,-3989,267.6102177
154.1967143,-29.62600822,-3990,269.2827816
154.1928906,-29.64095938,-3736,270.9553454
154.1890669,-29.65591055,-3762,272.6279093
154.1852432,-29.67086172,-3788,274.3004732
154.1814195,-29.68581288,-3890,275.973037
154.1775958,-29.70076405,-3809,277.6456009
154.1737721,-29.71571522,-3961,279.3181647
154.1699484,-29.73066638,-4037,280.9907286
154.1661247,-29.74561755,-4180,282.6632925
154.162301,-29.76056872,-4014,284.3358563
154.1584773,-29.77551988,-4087,286.0084202
154.1546537,-29.79047105,-4100,287.6809841
154.15083,-29.80542222,-4114,289.3535479
154.1470063,-29.82037338,-3997,291.0261118
154.1431826,-29.83532455,-4055,292.6986756
154.1393589,-29.85027572,-4118,294.3712395
154.1355352,-29.86522689,-4239,296.0438034
154.1317115,-29.88017805,-4183,297.7163672
154.1263646,-29.89440978,-4315,299.3889311
154.1172463,-29.90686029,-4310,301.0614949
154.108128,-29.91931079,-4419,302.7340588
154.0990097,-29.93176129,-4375,304.4066227
154.0898915,-29.9442118,-4430,306.0791865
154.0807732,-29.9566623,-4485,307.7517504
154.0716549,-29.96911281,-4380,309.4243142
154.0625366,-29.98156331,-4435,311.0968781
154.0534184,-29.99401381,-4483,312.769442
154.0443001,-30.00646432,-4395,314.4420058
154.0351818,-30.01891482,-4470,316.1145697
154.0260635,-30.03136533,-4397,317.7871335
154.0169452,-30.04381583,-4397,319.4596974
154.007827,-30.05626633,-4347,321.1322613
153.9987087,-30.06871684,-4309,322.8048251
153.9895904,-30.08116734,-4409,324.477389
153.9804721,-30.09361784,-4294,326.1499528
153.9713539,-30.10606835,-4400,327.8225167
153.9622356,-30.11851885,-4391,329.4950806
153.9531173,-30.13096936,-4266,331.1676444
153.943999,-30.14341986,-4277,332.8402083
153.9348808,-30.15587036,-4022,334.5127722
153.9257625,-30.16832087,-3985,336.185336
153.9166442,-30.18077137,-4122,337.8578999
153.9075259,-30.19322188,-4196,339.5304637
153.8984076,-30.20567238,-4196,341.2030276
153.8892894,-30.21812288,-4259,342.8755915
153.8801711,-30.23057339,-4396,344.5481553
153.8710528,-30.24302389,-4447,346.2207192
153.8619345,-30.2554744,-4474,347.893283
153.8528163,-30.2679249,-4531,349.5658469
153.843698,-30.2803754,-4455,351.2384108
153.8345797,-30.29282591,-4483,352.9109746
153.8254614,-30.30527641,-4540,354.5835385
153.8163432,-30.31772691,-4456,356.2561023
153.809979,-30.33159013,-4467,357.9286662
153.8051865,-30.34625946,-4421,359.6012301
153.8003939,-30.36092879,-4520,361.2737939
153.7956013,-30.37559813,-4515,362.9463578
153.7908088,-30.39026746,-4469,364.6189216
153.7860162,-30.40493679,-4466,366.2914855
153.7812236,-30.41960612,-4486,367.9640494
153.7764311,-30.43427546,-4444,369.6366132
153.7716385,-30.44894479,-4480,371.3091771
153.7668459,-30.46361412,-4478,372.9817409
153.7620534,-30.47828346,-4454,374.6543048
153.7572608,-30.49295279,-4469,376.3268687
153.7524682,-30.50762212,-4463,377.9994325
153.7476757,-30.52229145,-4452,379.6719964
153.7428831,-30.53696079,-4436,381.3445603
153.7380905,-30.55163012,-4427,383.0171241
153.733298,-30.56629945,-4421,384.689688
153.7285054,-30.58096878,-4405,386.3622518
